,city,state,count,population,lat,lng,per_capita
0,PHOENIX,AZ,822,4064275.0,33.5722,-112.0892,0.0002022500938051682
822,NEW YORK CITY,NY,809,18908608.0,40.6943,-73.9249,4.278474650275684e-05
1631,SEATTLE,WA,806,3561397.0,47.6211,-122.3244,0.00022631568454738407
2437,LAS VEGAS,NV,704,2248047.0,36.2333,-115.2654,0.00031316071238724104
3141,LOS ANGELES,CA,618,11922389.0,34.1141,-118.4068,5.18352487911609e-05
3759,PORTLAND,OR,616,2095808.0,45.5371,-122.65,0.0002939200537453813
4375,SAN DIEGO,CA,594,3046560.0,32.8313,-117.1222,0.0001949740034662045
4969,TUCSON,AZ,489,878320.0,32.1541,-110.8787,0.0005567446944166136
5458,CHICAGO,IL,478,8497759.0,41.8375,-87.6866,5.6250124297476546e-05
5936,HOUSTON,TX,449,5970127.0,29.786,-95.3885,7.52077803370012e-05
6385,ALBUQUERQUE,NM,413,769986.0,35.1054,-106.6465,0.0005363733886070656
6798,ORLANDO,FL,409,1882705.0,28.4773,-81.337,0.00021724061921543736
7207,MIAMI,FL,372,6080145.0,25.784,-80.2101,6.118275139819856e-05
7579,AUSTIN,TX,370,1905945.0,30.3005,-97.7522,0.00019412942136315582
7949,DENVER,CO,355,2687458.0,39.762,-104.8758,0.00013209508762555545
8304,SACRAMENTO,CA,341,1957738.0,38.5677,-121.4685,0.00017418061048005403
8645,BOISE,ID,334,449776.0,43.6005,-116.2308,0.0007425918679520473
8979,MYRTLE BEACH,SC,313,332181.0,33.7094,-78.8844,0.0009422573837757127
9292,SAN ANTONIO,TX,300,2058444.0,29.4632,-98.5238,0.00014574115205465875
9592,SAN JOSE,CA,299,1771413.0,37.3012,-121.848,0.00016879180631507165
9891,COLORADO SPRINGS,CO,296,638194.0,38.8674,-104.7605,0.00046380881048709325
10187,JACKSONVILLE,FL,284,1288298.0,30.3322,-81.6749,0.00022044589062468467
10471,COLUMBUS,OH,281,1572546.0,39.9862,-82.9855,0.00017869111618992387
10752,SPOKANE,WA,277,456219.0,47.6671,-117.433,0.0006071645415907711
11029,INDIANAPOLIS,IN,272,1729849.0,39.7771,-86.1458,0.00015723915786869258
11569,SAN FRANCISCO,CA,267,3364979.0,37.7558,-122.4449,7.934670617558088e-05
11836,SALT LAKE CITY,UT,257,1173879.0,40.7776,-111.9311,0.00021893227496189982
12093,MESA,AZ,255,503390.0,33.4015,-111.7178,0.0005065654860048869
12348,CHARLOTTE,NC,251,1427444.0,35.2083,-80.8303,0.00017583877195882991
12599,TAMPA,FL,248,2861173.0,27.9945,-82.4447,8.667773671847176e-05
12847,LOUISVILLE,KY,244,963812.0,38.1663,-85.6485,0.0002531614049212917
13091,DALLAS,TX,243,5830932.0,32.7935,-96.7667,4.1674298379744436e-05
13334,TACOMA,WA,235,219234.0,47.2431,-122.4531,0.0010719140279336235
13569,VANCOUVER,WA,235,190700.0,45.6366,-122.5967,0.001232302045097011
13804,PHILADELPHIA,PA,228,5683533.0,40.0077,-75.1339,4.01158927026552e-05
14032,PITTSBURGH,PA,222,1749091.0,40.4397,-79.9763,0.00012692307032624375
14254,RENO,NV,215,457702.0,39.5497,-119.8483,0.00046973795176774406
14469,FRESNO,CA,195,725276.0,36.783,-119.7939,0.00026886316381625753
14664,VIRGINIA BEACH,VA,190,1443020.0,36.7335,-76.0435,0.00013166830674557524
14854,SCOTTSDALE,AZ,189,240537.0,33.6872,-111.8651,0.0007857419024931715
15043,NASHVILLE,TN,186,1177657.0,36.1715,-86.7842,0.00015794072467620028
15229,TULSA,OK,186,731743.0,36.1283,-95.9042,0.0002541876041178392
15415,KANSAS CITY,MO,185,1689556.0,39.1238,-94.5541,0.00010949622267625341
15600,OMAHA,NE,184,821345.0,41.2627,-96.0529,0.00022402279188404384
15784,BALTIMORE,MD,180,2196524.0,39.3051,-76.6144,8.194765911959077e-05
15964,SALEM,OR,179,266420.0,44.9233,-123.0244,0.0006718714811200361
16143,ATLANTA,GA,174,5180179.0,33.7628,-84.422,3.358957286997225e-05
16317,EVERETT,WA,172,110847.0,47.9525,-122.1669,0.0015516883632394202
16489,EUGENE,OR,170,270990.0,44.0564,-123.1174,0.0006273294217498801
16659,OKLAHOMA CITY,OK,168,998806.0,35.4676,-97.5136,0.00016820083179316104
16827,CINCINNATI,OH,168,1692702.0,39.1413,-84.506,9.924960211543437e-05
16995,TINLEY PARK,IL,164,55571.0,41.567,-87.8049,0.002951179572078962
17159,WICHITA,KS,163,509003.0,37.6895,-97.3443,0.0003202338689555857
17322,BAKERSFIELD,CA,160,571992.0,35.3529,-119.0359,0.00027972419194674053
17482,CHANDLER,AZ,160,275618.0,33.2825,-111.8514,0.0005805136094159308
17642,ANCHORAGE,AK,158,290674.0,61.1508,-149.1091,0.0005435642678739757
17800,BUFFALO,NY,156,944589.0,42.9018,-78.8487,0.00016515119274096988
17956,MINNEAPOLIS,MN,156,2892569.0,44.9635,-93.2678,5.3931297749509174e-05
18112,LONG BEACH,CA,155,462293.0,33.7977,-118.167,0.0003352851979156076
18267,GILBERT,AZ,154,267267.0,33.31,-111.7463,0.0005762028233938346
18421,WASHINGTON,DC,152,5116378.0,38.9047,-77.0163,2.970851645441365e-05
18573,KNOXVILLE,TN,151,615829.0,35.9692,-83.9496,0.00024519793644014814
18724,ROCHESTER,NY,150,699921.0,43.168,-77.6162,0.00021430990068879203
18874,SANTA FE,NM,149,93165.0,35.6619,-105.9819,0.0015993130467450223
19023,BELLINGHAM,WA,147,129880.0,48.7548,-122.469,0.0011318139821373575
19170,FORT WORTH,TX,146,924663.0,32.7817,-97.3474,0.00015789536295926192
19316,FORT COLLINS,CO,146,335398.0,40.5477,-105.0656,0.0004353037287044049
19462,EL PASO,TX,144,865270.0,31.8476,-106.43,0.00016642204167485294
19606,MEMPHIS,TN,144,1037998.0,35.1087,-89.9663,0.00013872859099921193
19750,SARASOTA,FL,142,55508.0,27.3387,-82.5432,0.002558189810477769
19892,NORTH MYRTLE BEACH,SC,141,18850.0,33.8232,-78.7082,0.007480106100795756
20033,ROCKFORD,IL,141,273237.0,42.2596,-89.064,0.0005160355295951866
20174,RALEIGH,NC,139,1163152.0,35.8324,-78.6429,0.00011950286806883365
20313,RICHMOND,VA,139,1073223.0,37.5295,-77.4756,0.00012951641923439957
20452,FORT LAUDERDALE,FL,139,182673.0,26.1412,-80.1464,0.0007609225227592474
20591,MILWAUKEE,WI,137,1290940.0,43.0642,-87.9675,0.0001061242195609401
20728,HONOLULU,HI,136,348547.0,21.3294,-157.846,0.0003901912797987072
20864,MADISON,WI,132,451652.0,43.0822,-89.393,0.000292260412884256
20996,SANTA ROSA,CA,131,296180.0,38.4458,-122.7067,0.000442298602201364
21127,GRAND RAPIDS,MI,131,609023.0,42.9619,-85.6562,0.00021509860875533436
21389,SANTA BARBARA,CA,129,199023.0,34.4285,-119.7202,0.0006481662923380714
21518,CLEVELAND,OH,128,1680247.0,41.4764,-81.6805,7.617927602310851e-05
21646,RIVERSIDE,CA,128,2332836.0,33.9381,-117.3949,5.48688377579907e-05
21774,NAPLES,FL,126,19315.0,26.1504,-81.7936,0.006523427388040383
21900,YAKIMA,WA,125,132354.0,46.5923,-120.5496,0.0009444368889493329
22025,BOULDER,CO,124,118090.0,40.0248,-105.2524,0.001050046574646456
22149,GLENDALE,AZ,124,248083.0,33.5791,-112.2311,0.0004998327172760729
22273,TEMPE,AZ,123,181005.0,33.3881,-111.9319,0.0006795392392475346
22396,OLYMPIA,WA,122,210877.0,47.0417,-122.8959,0.0005785363031530228
22518,FORT WAYNE,IN,120,337163.0,41.0888,-85.1436,0.00035591093921930934
22638,MODESTO,CA,120,354183.0,37.6375,-121.0028,0.0003388079043884094
22758,ALEXANDRIA,VA,119,157594.0,38.8185,-77.0861,0.0007551048897800678
22877,BOSTON,MA,118,4328315.0,42.3188,-71.0852,2.7262341118888068e-05
22995,SPRINGFIELD,MO,116,286280.0,37.1943,-93.2916,0.00040519770853709655
23111,GREENSBORO,NC,114,347130.0,36.0956,-79.8271,0.0003284072249589491
23338,GRAND JUNCTION,CO,112,138416.0,39.0877,-108.5673,0.0008091550109813894
23450,LINCOLN,NE,112,290531.0,40.8099,-96.6784,0.0003855010308710602
23562,BELLEVUE,WA,112,150606.0,47.5951,-122.1535,0.0007436622710914572
23674,AUBURN,WA,112,85623.0,47.3039,-122.2108,0.001308059750300737
23786,AURORA,CO,112,387349.0,39.7083,-104.7237,0.00028914493131517057
23898,BURBANK,CA,111,106389.0,34.1879,-118.3235,0.0010433409469024052
24009,BREMERTON,WA,111,226805.0,47.5436,-122.7121,0.0004894072000176363
